Business Impact,Recommendation,Resource Group,Resource Name,Type
Medium,Storage account should use a private link connection,cloud-shell-storage-westeurope,csb10032001298ed458,Storage Account
Medium,Storage accounts should prevent shared key access,cloud-shell-storage-westeurope,csb10032000b8a859fb,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,cloud-shell-storage-westeurope,csb10032001298ed458,Storage Account
Medium,Storage accounts should prevent shared key access,cloud-shell-storage-westeurope,csb10032001298ed458,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,cloud-shell-storage-westeurope,csb10032000b8a859fb,Storage Account
Medium,Storage account should use a private link connection,cloud-shell-storage-westeurope,csb10032000b8a859fb,Storage Account
Medium,Machines should have a vulnerability assessment solution,rubrik-avant,rbrk-avant-cl1-vm-0,Virtual machine
Medium,Guest Configuration extension should be installed on machines,rubrik-avant,rbrk-avant-cl1-vm-0,Virtual machine
Medium,Storage accounts should prevent shared key access,rubrik-avant,rubrikavantstorage,Storage Account
Medium,Storage account should use a private link connection,rubrik-avant,rubrikavantstorage,Storage Account
Medium,Virtual machines and virtual machine scale sets should have encryption at host enabled,rubrik-avant,rbrk-avant-cl1-vm-0,Virtual machine
Medium,Storage accounts should restrict network access using virtual network rules,esb-avantdynamics-prd-rg,avantdynamicsprdsa,Storage Account
Medium,Key vaults should have deletion protection enabled,esb-avantdynamics-prd-rg,avantdynamics-prd-akv,Key vault
Medium,Firewall should be enabled on Key Vault,esb-avantdynamics-prd-rg,avantdynamics-prd-akv,Key vault
Medium,Storage account public access should be disallowed,esb-avantdynamics-prd-rg,avantdynamicsprdsa,Storage Account
Medium,Diagnostic logs in App Service should be enabled,esb-avantdynamics-prd-rg,avantdynamics-prd-api-crm,App service
Medium,Storage account should use a private link connection,esb-avantdynamics-prd-rg,avantdynamicsprdsa,Storage Account
Medium,Storage accounts should prevent shared key access,esb-avantdynamics-prd-rg,avantdynamicsprdsa,Storage Account
Medium,Azure Key Vaults should use private link,esb-avantdynamics-prd-rg,avantdynamics-prd-akv,Key vault
Medium,Email notification to subscription owner for high severity alerts should be enabled,No resource group,99079279-b359-4c66-aeed-9cafbdb84097,Subscription
Medium,Firewall should be enabled on Key Vault,esb-avantdynamics-ppd-rg,avantdynamics-ppd-akv,Key vault
Medium,Storage account should use a private link connection,esb-avantdynamics-ppd-rg,avantdynamicsppdsa,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,esb-avantdynamics-ppd-rg,avantdynamicsppdsa,Storage Account
Medium,Storage accounts should prevent shared key access,esb-avantdynamics-ppd-rg,avantdynamicsppdsa,Storage Account
Medium,Storage account public access should be disallowed,esb-avantdynamics-ppd-rg,avantdynamicsppdsa,Storage Account
Medium,Azure Key Vaults should use private link,esb-avantdynamics-ppd-rg,avantdynamics-ppd-akv,Key vault
Medium,Storage account public access should be disallowed,coins_azure,coinsazurebulkstorage,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,coins_azure,coinsazurebulkstorage,Storage Account
Medium,Private endpoint connections on Azure SQL Database should be enabled,coins_azure,coinsazure,SQL server
Medium,Public network access on Azure SQL Database should be disabled,coins_azure,coinsazure,SQL server
Medium,Azure SQL Database should have Azure Active Directory Only Authentication enabled,coins_azure,coinsazure,SQL server
Medium,Storage account should use a private link connection,coins_azure,coinsazurebulkstorage,Storage Account
Medium,Storage accounts should prevent shared key access,coins_azure,coinsazurebulkstorage,Storage Account
Medium,Email notification to subscription owner for high severity alerts should be enabled,No resource group,215ac9bf-7032-4d13-af23-4a35c2b8d656,Subscription
Medium,Management ports should be closed on your virtual machines,avant-secure-rg,avazlinux,Virtual machine
Medium,Guest Configuration extension should be installed on machines,avant-secure-rg,avazlinux,Virtual machine
Medium,Virtual machines and virtual machine scale sets should have encryption at host enabled,avant-secure-rg,avazlinux,Virtual machine
Medium,Guest Configuration extension should be installed on machines,avant-secure-rg,avazin01,Virtual machine
Medium,Machines should have a vulnerability assessment solution,avant-secure-rg,avazin01,Virtual machine
Medium,Management ports should be closed on your virtual machines,avant-secure-rg,avazin01,Virtual machine
Medium,Machines should have a vulnerability assessment solution,avant-secure-rg,avazlinux,Virtual machine
Medium,Virtual machines and virtual machine scale sets should have encryption at host enabled,avant-secure-rg,avazin01,Virtual machine
Medium,Machines should have a vulnerability assessment solution,mrg-cisco-meraki-vmx-20210514151620,avant-vmx-vm,Virtual machine
Medium,Guest Configuration extension should be installed on machines,mrg-cisco-meraki-vmx-20210514151620,avant-vmx-vm,Virtual machine
Medium,IP forwarding on your virtual machine should be disabled,mrg-cisco-meraki-vmx-20210514151620,avant-vmx-vm,Virtual machine
Medium,Virtual machines and virtual machine scale sets should have encryption at host enabled,mrg-cisco-meraki-vmx-20210514151620,avant-vmx-vm,Virtual machine
Medium,Storage accounts should prevent shared key access,rubrikpso-rg,rubrikpsostorageaccount,Storage Account
Medium,Storage account should use a private link connection,rubrikpso-rg,rubrikpsostorageaccount,Storage Account
Medium,Guest Configuration extension should be installed on machines,avant-asav-fw1-rg,avant-asav-fw1-vm,Virtual machine
Medium,Virtual machines and virtual machine scale sets should have encryption at host enabled,avant-asav-fw1-rg,avant-asav-fw1-vm,Virtual machine
Medium,Storage accounts should restrict network access using virtual network rules,avant-asav-fw1-rg,avantasavfw1vmaad012,Storage Account
Medium,Storage account public access should be disallowed,avant-asav-fw1-rg,avantasavfw1vmaad012,Storage Account
Medium,Storage accounts should prevent shared key access,avant-asav-fw1-rg,avantasavfw1vmaad012,Storage Account
Medium,Storage account should use a private link connection,avant-asav-fw1-rg,avantasavfw1vmaad012,Storage Account
Medium,Storage account public access should be disallowed,avant-dr-rg,yvnyoaavantdrrasrcache,Storage Account
Medium,Storage accounts should prevent shared key access,avant-dr-rg,avantdrrgdiag,Storage Account
Medium,Storage accounts should prevent shared key access,avant-dr-rg,yvnyoaavantdrrasrcache,Storage Account
Medium,Storage account should use a private link connection,avant-dr-rg,yvnyoaavantdrrasrcache,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,avant-dr-rg,yvnyoaavantdrrasrcache,Storage Account
Medium,Storage account should use a private link connection,avant-dr-rg,avantdrrgdiag,Storage Account
Medium,Storage account public access should be disallowed,avant-dr-rg,avantdrrgdiag,Storage Account
Medium,Storage accounts should restrict network access using virtual network rules,avant-dr-rg,avantdrrgdiag,Storage Account
